"id","budget","original_language","popularity","release_date","revenue","status","vote_average","vote_count"
9481,73000000,"en",33.884459,1999-11-04,151493655,"Released",6.5,826
4547,48000000,"en",53.043124,2002-03-29,196397415,"Released",6.5,1267
53953,0,"de",0.716764,2006-08-08,0,"Released",4.3,13
6415,75000000,"en",34.973086,1999-09-27,1.08e+08,"Released",6.6,692
181283,50000000,"en",40.371098,2015-03-15,3324330,"Released",6.1,547
9896,48000000,"en",18.60049,2001-07-30,85498534,"Released",6,518
167,48000000,"en",30.920075,2001-10-22,50315140,"Released",7.1,695
11232,0,"en",11.940711,2001-12-25,0,"Released",6,418
1636,48000000,"en",19.348007,2000-10-19,90383208,"Released",5.6,512
2148,58000000,"en",8.59075,1984-12-14,25928721,"Released",6.6,68
5176,55000000,"en",48.801089,2007-09-06,70016220,"Released",6.9,1188
260346,48000000,"en",88.844777,2014-12-16,325771424,"Released",6.1,2200
1389,48000000,"en",16.000178,1998-06-26,77745568,"Released",6.5,333
9894,47000000,"en",19.525659,1996-06-10,102825796,"Released",5.7,594
7504,0,"hi",1.246883,1998-09-16,528972,"Released",6.6,9
8592,47000000,"en",7.859226,1990-06-15,103738726,"Released",5.9,251
913,48000000,"en",18.102572,1999-08-06,124305181,"Released",6.6,339
11091,48000000,"en",7.226115,2001-10-19,35743308,"Released",6.5,103
1368,15000000,"en",63.071046,1982-10-22,125212904,"Released",7.2,1488
593,0,"ru",24.132271,1972-03-20,0,"Released",7.7,357
5393,47000000,"en",10.410933,2006-09-14,38085778,"Released",4.6,104
9095,47000000,"en",6.067212,1996-02-23,12379402,"Released",5.7,74
8874,38000000,"en",15.401855,1997-06-19,299288605,"Released",6.3,584
11467,0,"en",10.698929,2001-07-17,0,"Released",5.5,252
320,46000000,"en",41.322708,2002-05-24,113714830,"Released",6.8,1148
199,46000000,"en",25.6713,1996-11-21,1.5e+08,"Released",7,661
20533,47000000,"en",22.581313,2010-06-18,10539000,"Released",4.4,420
10684,46000000,"en",12.971122,1996-07-04,100860818,"Released",6.2,232
1624,45000000,"en",26.721386,1997-03-21,1.81e+08,"Released",6.4,1424
325789,25000000,"en",24.672234,2016-07-13,15436808,"Released",6.6,573
113464,46000000,"en",0.146783,1981-05-04,5200000,"Released",6.5,2
888,46000000,"en",28.964162,1994-05-26,341631208,"Released",5,543
82675,45000000,"en",49.353524,2012-09-27,376141306,"Released",6.1,2757
4256,48000000,"en",36.585509,2003-10-24,220673217,"Released",5.8,912
1493,45000000,"en",32.624355,2000-12-14,2.12e+08,"Released",6.1,961
88751,45000000,"en",53.090422,2008-07-10,101702060,"Released",5.8,1309
11130,40000000,"en",30.002907,2004-08-06,95149435,"Released",6,697
9944,45000000,"en",17.923254,1993-12-16,195268056,"Released",6.3,371
10731,45000000,"en",17.746719,1994-07-20,117615211,"Released",6.4,278
